y,x,street_count,highway,ref,geometry
27.5425926,-99.450261,3,,,POINT (-99.450261 27.5425926)
27.5900889,-99.4640462,3,,,POINT (-99.4640462 27.5900889)
27.5284805,-99.4337315,4,,,POINT (-99.4337315 27.5284805)
27.6539243,-99.608955,3,,,POINT (-99.608955 27.6539243)
27.6534208,-99.6184286,3,,,POINT (-99.6184286 27.6534208)
27.5726962,-99.4849817,3,,,POINT (-99.4849817 27.5726962)
27.5730379,-99.4850557,1,turning_circle,,POINT (-99.4850557 27.5730379)
27.6611357,-99.6456947,4,,,POINT (-99.6456947 27.6611357)
27.6608246,-99.6459403,4,,,POINT (-99.6459403 27.6608246)
27.6235169,-99.5277112,2,,,POINT (-99.5277112 27.6235169)
27.4898778,-99.4172103,3,,,POINT (-99.4172103 27.4898778)
27.4850757,-99.367381,3,,,POINT (-99.367381 27.4850757)
27.484105,-99.346059,3,,,POINT (-99.346059 27.484105)
27.485384,-99.3460713,4,,,POINT (-99.3460713 27.485384)
27.5176723,-99.5006327,3,,,POINT (-99.5006327 27.5176723)
27.5176726,-99.4997083,3,,,POINT (-99.4997083 27.5176726)
27.704657,-99.682619,3,,,POINT (-99.682619 27.704657)
27.70351,-99.685609,3,,,POINT (-99.685609 27.70351)
27.688301,-99.695443,3,,,POINT (-99.695443 27.688301)
27.6803322,-99.4660631,3,,,POINT (-99.4660631 27.6803322)
27.6570319,-99.4769753,3,,,POINT (-99.4769753 27.6570319)
27.6417654,-99.4860132,3,,,POINT (-99.4860132 27.6417654)
27.6058531,-99.4943094,3,,,POINT (-99.4943094 27.6058531)
27.6796646,-99.6837704,3,,,POINT (-99.6837704 27.6796646)
27.374519,-99.471082,3,,,POINT (-99.471082 27.374519)
27.374449,-99.47401,3,,,POINT (-99.47401 27.374449)
27.372516,-99.494301,1,,,POINT (-99.494301 27.372516)
27.372206,-99.4727541,4,,,POINT (-99.4727541 27.372206)
27.4917557,-99.4242122,3,,,POINT (-99.4242122 27.4917557)
27.545914,-99.5162466,3,,,POINT (-99.5162466 27.545914)
27.5457081,-99.5156625,3,,,POINT (-99.5156625 27.5457081)
27.6062108,-99.5290738,3,,,POINT (-99.5290738 27.6062108)
27.6068747,-99.529393,4,,,POINT (-99.529393 27.6068747)
27.4852302,-99.3582028,3,,,POINT (-99.3582028 27.4852302)
27.4292979,-99.4730884,4,,,POINT (-99.4730884 27.4292979)
27.4846479,-99.3911461,3,,,POINT (-99.3911461 27.4846479)
27.4997917,-99.390061,1,,,POINT (-99.390061 27.4997917)
27.478065,-99.4231331,1,,,POINT (-99.4231331 27.478065)
27.4848386,-99.4240963,3,,,POINT (-99.4240963 27.4848386)
27.4848157,-99.4240959,3,,,POINT (-99.4240959 27.4848157)
27.4842486,-99.4225351,1,,,POINT (-99.4225351 27.4842486)
27.484234,-99.4240856,3,,,POINT (-99.4240856 27.484234)
27.4795604,-99.4617061,3,,,POINT (-99.4617061 27.4795604)
27.483166,-99.367175,1,,,POINT (-99.367175 27.483166)
27.6512796,-99.5596695,3,,,POINT (-99.5596695 27.6512796)
27.405613,-99.467714,3,,,POINT (-99.467714 27.405613)
27.4098516,-99.479262,3,,,POINT (-99.479262 27.4098516)
27.4034013,-99.4827687,3,,,POINT (-99.4827687 27.4034013)
27.4034165,-99.4831979,3,,,POINT (-99.4831979 27.4034165)
27.403543,-99.483934,3,,,POINT (-99.483934 27.403543)
27.403414,-99.485856,3,,,POINT (-99.485856 27.403414)
27.404544,-99.487546,1,,,POINT (-99.487546 27.404544)
27.4812878,-99.4507768,4,,,POINT (-99.4507768 27.4812878)
27.478937,-99.4507188,3,,,POINT (-99.4507188 27.478937)
27.6382905,-99.5413258,3,,,POINT (-99.5413258 27.6382905)
27.6383793,-99.5418213,3,,,POINT (-99.5418213 27.6383793)
27.4850115,-99.3705941,3,,,POINT (-99.3705941 27.4850115)
27.4850433,-99.3993158,3,,,POINT (-99.3993158 27.4850433)
27.4849549,-99.3738596,3,,,POINT (-99.3738596 27.4849549)
27.4851214,-99.3643115,3,,,POINT (-99.3643115 27.4851214)
27.491961,-99.4249744,3,,,POINT (-99.4249744 27.491961)
27.4240304,-99.4760288,1,,,POINT (-99.4760288 27.4240304)
27.670697,-99.666422,3,,,POINT (-99.666422 27.670697)
27.6647139,-99.6545075,3,,,POINT (-99.6545075 27.6647139)
27.39782,-99.489245,1,,,POINT (-99.489245 27.39782)
27.399124,-99.482745,3,,,POINT (-99.482745 27.399124)
27.4005666,-99.4789664,3,,,POINT (-99.4789664 27.4005666)
27.400482,-99.482378,3,,,POINT (-99.482378 27.400482)
27.484819,-99.332714,3,,,POINT (-99.332714 27.484819)
27.48553,-99.33328,3,,,POINT (-99.33328 27.48553)
27.5285164,-99.4296789,3,,,POINT (-99.4296789 27.5285164)
27.5285187,-99.4292885,3,,,POINT (-99.4292885 27.5285187)
27.5803148,-99.5185156,3,,,POINT (-99.5185156 27.5803148)
27.48464,-99.393203,3,,,POINT (-99.393203 27.48464)
27.537832,-99.4330116,3,,,POINT (-99.4330116 27.537832)
27.5385101,-99.4339997,1,turning_circle,,POINT (-99.4339997 27.5385101)
27.533975,-99.4282697,3,,,POINT (-99.4282697 27.533975)
27.5360126,-99.4286761,3,,,POINT (-99.4286761 27.5360126)
27.5185535,-99.5034837,3,,,POINT (-99.5034837 27.5185535)
27.5209637,-99.5029163,3,,,POINT (-99.5029163 27.5209637)
27.5179018,-99.5026041,3,,,POINT (-99.5026041 27.5179018)
27.4852495,-99.356406,3,,,POINT (-99.356406 27.4852495)
27.4852666,-99.3543648,3,,,POINT (-99.3543648 27.4852666)
27.4922858,-99.4261805,3,,,POINT (-99.4261805 27.4922858)
27.6565212,-99.5496295,1,,,POINT (-99.5496295 27.6565212)
27.6547969,-99.5325892,3,,,POINT (-99.5325892 27.6547969)
27.658285,-99.512474,3,,,POINT (-99.512474 27.658285)
